[2025-10-30T09:24:06.026411+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': 0.00048160552978515625}
[2026-04-02T16:33:19.048830+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': -1.0}
[2026-04-02T16:33:19.050325+00:00] LOW email_access user=perf_test resource=api:/api/test0 action='GET /api/test0' result=success details={'method': 'GET', 'endpoint': '/api/test0', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050349+00:00] LOW email_access user=perf_test resource=api:/api/test1 action='GET /api/test1' result=success details={'method': 'GET', 'endpoint': '/api/test1', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050361+00:00] LOW email_access user=perf_test resource=api:/api/test2 action='GET /api/test2' result=success details={'method': 'GET', 'endpoint': '/api/test2', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050371+00:00] LOW email_access user=perf_test resource=api:/api/test3 action='GET /api/test3' result=success details={'method': 'GET', 'endpoint': '/api/test3', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050385+00:00] LOW email_access user=perf_test resource=api:/api/test4 action='GET /api/test4' result=success details={'method': 'GET', 'endpoint': '/api/test4', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050392+00:00] LOW email_access user=perf_test resource=api:/api/test5 action='GET /api/test5' result=success details={'method': 'GET', 'endpoint': '/api/test5', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050400+00:00] LOW email_access user=perf_test resource=api:/api/test6 action='GET /api/test6' result=success details={'method': 'GET', 'endpoint': '/api/test6', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050410+00:00] LOW email_access user=perf_test resource=api:/api/test7 action='GET /api/test7' result=success details={'method': 'GET', 'endpoint': '/api/test7', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050418+00:00] LOW email_access user=perf_test resource=api:/api/test8 action='GET /api/test8' result=success details={'method': 'GET', 'endpoint': '/api/test8', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:19.050426+00:00] LOW email_access user=perf_test resource=api:/api/test9 action='GET /api/test9' result=success details={'method': 'GET', 'endpoint': '/api/test9', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.073513+00:00] LOW email_access user=anonymous resource=api:/test action='GET /test' result=success details={'method': 'GET', 'endpoint': '/test', 'status_code': 200, 'response_time_seconds': -1.0}
[2026-04-02T16:33:47.075007+00:00] LOW email_access user=perf_test resource=api:/api/test0 action='GET /api/test0' result=success details={'method': 'GET', 'endpoint': '/api/test0', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075031+00:00] LOW email_access user=perf_test resource=api:/api/test1 action='GET /api/test1' result=success details={'method': 'GET', 'endpoint': '/api/test1', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075043+00:00] LOW email_access user=perf_test resource=api:/api/test2 action='GET /api/test2' result=success details={'method': 'GET', 'endpoint': '/api/test2', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075052+00:00] LOW email_access user=perf_test resource=api:/api/test3 action='GET /api/test3' result=success details={'method': 'GET', 'endpoint': '/api/test3', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075060+00:00] LOW email_access user=perf_test resource=api:/api/test4 action='GET /api/test4' result=success details={'method': 'GET', 'endpoint': '/api/test4', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075068+00:00] LOW email_access user=perf_test resource=api:/api/test5 action='GET /api/test5' result=success details={'method': 'GET', 'endpoint': '/api/test5', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075076+00:00] LOW email_access user=perf_test resource=api:/api/test6 action='GET /api/test6' result=success details={'method': 'GET', 'endpoint': '/api/test6', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075083+00:00] LOW email_access user=perf_test resource=api:/api/test7 action='GET /api/test7' result=success details={'method': 'GET', 'endpoint': '/api/test7', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075091+00:00] LOW email_access user=perf_test resource=api:/api/test8 action='GET /api/test8' result=success details={'method': 'GET', 'endpoint': '/api/test8', 'status_code': 200, 'response_time_seconds': 0.1}
[2026-04-02T16:33:47.075098+00:00] LOW email_access user=perf_test resource=api:/api/test9 action='GET /api/test9' result=success details={'method': 'GET', 'endpoint': '/api/test9', 'status_code': 200, 'response_time_seconds': 0.1}
