/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:1: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:14: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:24: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:25: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:26: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:63: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:304: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:478: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:743: MD013 Line length
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:605: MD026 Trailing punctuation in header
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:733: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:734: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:735: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:736: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:737: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:744: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:745: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:746: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:747: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:752: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:753: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:754: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:755: MD029 Ordered list item prefix
/home/masum/github/PR/.taskmaster/new_task_plan/task-001.md:815: MD047 File should end with a single newline character

Further documentation is available for these failures:
 - MD013: https://github.com/markdownlint/markdownlint/blob/main/docs/RULES.md#md013---line-length
 - MD026: https://github.com/markdownlint/markdownlint/blob/main/docs/RULES.md#md026---trailing-punctuation-in-header
 - MD029: https://github.com/markdownlint/markdownlint/blob/main/docs/RULES.md#md029---ordered-list-item-prefix
 - MD047: https://github.com/markdownlint/markdownlint/blob/main/docs/RULES.md#md047---file-should-end-with-a-single-newline-character
